time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-31T20:44:20.034Z,32.2951,-101.7941,5,4,mwr,,35,0.316,0.41,us,us6000d4mj,2021-03-06T23:21:06.040Z,"18 km N of Stanton, Texas",earthquake,1.5,1.9,0.04,60,reviewed,us,us
2020-12-22T00:30:00.240Z,32.3371667,-115.3908333,15.21,4.05,mw,54,76,0.1096,0.32,ci,ci39500455,2021-07-19T21:07:19.912Z,"19km W of Delta, B.C., MX",earthquake,0.41,0.68,,6,reviewed,ci,ci
2020-12-20T02:11:06.190Z,38.2731667,-108.9293333,0.02,4.32,ml,22,83,0.05148,0.13,uu,uu60422367,2021-02-27T23:26:22.040Z,"28 km E of La Sal, Utah",earthquake,0.26,0.88,0.185,14,reviewed,uu,uu
2020-12-15T00:35:22.346Z,38.1598,-117.942,10.8,4.3,ml,33,27.42,0.025,0.1472,nn,nn00792265,2021-02-20T16:12:07.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.18,15,reviewed,nn,nn
2020-12-14T21:20:10.831Z,38.1554,-118.1231,5.2,4.7,ml,33,42.76,0.056,0.1432,nn,nn00792158,2021-02-20T16:12:06.040Z,"26 km S of Mina, Nevada",earthquake,,1.8,0.51,12,reviewed,nn,nn
2020-12-12T07:50:52.930Z,38.1497,-118.1008,6.4,4.9,ml,30,43.01,0.04,0.1745,nn,nn00791435,2021-02-20T16:11:27.040Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.2,13,reviewed,nn,nn
2020-12-09T07:03:59.639Z,24.8762,-108.8901,10,4.4,mb,,70,1.504,0.83,us,us7000cpec,2021-02-20T16:10:52.040Z,"68 km SSW of El Progreso, Mexico",earthquake,6.6,1.9,0.055,97,reviewed,us,us
2020-12-06T15:03:33.260Z,39.0376667,-123.0671667,4.95,4.39,mw,74,52,0.0443,0.1,nc,nc73494405,2021-02-12T22:39:42.040Z,"13km W of Lakeport, CA",earthquake,0.17,0.4,,4,reviewed,nc,nc
2020-12-03T05:15:29.993Z,38.175,-118.0654,5,4.9,ml,30,41.69,0.018,0.1367,nn,nn00788443,2021-02-12T22:38:31.040Z,"24 km S of Mina, Nevada",earthquake,,0.8,0.25,13,reviewed,nn,nn
2020-12-03T03:18:10.464Z,38.1654,-117.858,4.6,4,ml,22,38.94,0.011,0.1345,nn,nn00788378,2021-02-12T22:38:29.040Z,"33 km SE of Mina, Nevada",earthquake,,0.7,0.28,9,reviewed,nn,nn
2020-12-02T09:29:54.076Z,27.9728,-111.3037,10,4.4,mb,,235,1.088,0.62,us,us7000cm22,2021-03-22T18:44:03.567Z,"25 km W of San Carlos, Mexico",earthquake,6.2,2,0.169,10,reviewed,us,us
2020-12-02T04:49:28.774Z,38.1692,-118.0711,4.1,4.4,ml,28,41.98,0.018,0.1205,nn,nn00787479,2021-02-12T22:38:08.040Z,"24 km S of Mina, Nevada",earthquake,,0.8,0.23,13,reviewed,nn,nn
2020-12-02T02:24:00.000Z,38.1674,-118.0867,4.76,4.3,mb,,113,0.226,0.3,us,us7000clvy,2021-02-12T22:38:03.040Z,"California-Nevada border region",earthquake,4.9,4.1,0.216,6,reviewed,us,us
2020-12-02T02:23:45.029Z,38.1754,-118.0725,4.3,4.4,ml,25,41.69,0.022,0.149,nn,nn00787309,2021-02-12T22:38:03.040Z,"24 km S of Mina, Nevada",earthquake,,1.1,0.26,11,reviewed,nn,nn
2020-12-01T23:47:05.591Z,38.1675,-118.0813,5.6,4.3,ml,34,42.09,0.024,0.1649,nn,nn00787133,2021-02-06T18:29:36.040Z,"24 km S of Mina, Nevada",earthquake,,0.8,0.16,16,reviewed,nn,nn
2020-12-01T23:43:08.516Z,38.1727,-118.0703,4.8,4.3,ml,33,41.81,0.019,0.1298,nn,nn00787124,2021-02-06T18:29:36.040Z,"24 km S of Mina, Nevada",earthquake,,0.7,0.25,16,reviewed,nn,nn
2020-12-01T23:32:56.573Z,38.1637,-118.0837,5,5.1,ml,21,42.28,0.025,0.1986,nn,nn00787105,2021-02-06T18:29:35.040Z,"25 km S of Mina, Nevada",earthquake,,2.5,0.25,11,reviewed,nn,nn
2020-11-25T13:43:46.551Z,44.3285,-115.0418,10,4.1,mb,,55,0.13,0.7,us,us6000csgs,2021-02-06T18:28:07.040Z,"14 km NW of Stanley, Idaho",earthquake,2.6,2,0.213,6,reviewed,us,us
2020-11-20T10:10:05.966Z,38.1746,-117.8015,7.4,4,ml,31,54.57,0.056,0.1356,nn,nn00785349,2021-02-03T17:50:03.040Z,"36 km SE of Mina, Nevada",earthquake,,0.8,0.23,14,reviewed,nn,nn
2020-11-15T20:48:22.940Z,44.3493,-115.0379,4.72,4.1,mwr,,58,0.149,0.72,us,us7000cfdd,2021-01-27T17:29:43.040Z,"16 km NNW of Stanley, Idaho",earthquake,2.3,6.3,0.043,52,reviewed,us,us
